dispute_id,description,is_verified_duplicate,is_verified_failed,contains_fraud_keyword,contains_refund_keyword,contains_duplicate_keyword,true_category
D1049,"Was charged again for the same order, looks like a duplicate payment. I have the SMS and bank statement.",1,0,0,0,1,DUPLICATE_CHARGE
D1754,emi card was charged twice this month (not sure why).,0,0,0,0,1,OTHERS
D1789,Chargebacckr equested as I on't rrecognize this card ttxn. I contacted merchant but no response.,0,0,0,0,0,OTHERS
D1733,EMI card was charged twice this month (not sure why).,0,0,0,0,1,OTHERS
D1403,failed transaction but money taken out of my savings account.,0,1,0,0,0,FAILED_TRANSACTION
D1094,"Double charge: duplicated charge for ₹2,300.00 — i only did the payment once. Transaction IDs: 656837",1,0,0,0,1,DUPLICATE_CHARGE
D1120,I got charged twice for the same taxi of ₹1200 today.,1,0,0,0,1,DUPLICATE_CHARGE
D1768,Chargeback requested as I don't recognize this card txn. I contacted merchant but no response.,0,0,0,0,0,OTHERS
D1287,"My payment failed on gateway but amount got deducted, pls reverse. I contacted merchant but no response.",0,1,0,0,0,FAILED_TRANSACTION
D1114,Double charge: Two debits for one purchase at pharmacy minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
D1599,Refund hasn't come back to my account after the seller cancelled.,0,0,0,1,0,REFUND_PENDING
D1300,Failed transaction but money taken out of my savings account.,0,1,0,0,0,FAILED_TRANSACTION
D1090,"I see a duplicate transaction of ₹750 for same merchant, pls help.",1,0,0,0,1,DUPLICATE_CHARGE
D1249,UPI failed but I got debited. Status shows FAILED.,0,1,0,0,0,FAILED_TRANSACTION
D1284,paymennt failed buut bankk debited me; transaction statu is faiil. I contacted merchant but no response. refund not yet received.,0,1,0,1,0,FAILED_TRANSACTION
D1718,"Refund waiting, merchant says refunded but not in my bank. pls help",0,0,0,1,0,REFUND_PENDING
D1087,Double charge: two debits for one purchase at subscription service minutes apart.,1,0,0,0,1,DUPLICATE_CHARGE
D1271,Payment went through at my end but merchant shows failed—I've been charged.,0,1,0,0,0,FAILED_TRANSACTION
D1556,unauthorized transaction on my card — suspicious charge i didn't do.,0,0,1,0,0,FRAUD
D1504,"Unauthorised transaction: Not my transaction. Someone used my card, it's unauthorised. pls help",0,0,1,0,0,FRAUD
D1319,UPI failed but I got debited. Status shows FAILED. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1669,"Refund not received, I've been waiting for days.",0,0,0,1,0,REFUND_PENDING
D1681,Still waiting for refund after canceled transaction.,0,0,0,1,0,REFUND_PENDING
D1443,i did not make this payment. this is fraud.,0,0,1,0,0,FRAUD
D1432,NEFT failed but amount not reversed yet. pls help,0,1,0,0,0,FAILED_TRANSACTION
D1410,Faield transation butm oneyy taaken out of m savings accconut.,0,0,0,0,0,FAILED_TRANSACTION
D1728,Chargeback requested as I don't recognize this card txn.,0,0,0,0,0,OTHERS
